dataset,trees,family,mode,worker,buffer,threads,bt,transposed,bitmask,cached,mapped,devreduce,crossreduce,features,real_time_ns,cpu_time_ns,iterations,items_per_second,name
higgs_d6_n500,500,cuda,persistent,cuda,tree,,256,0,1,0,0,0,0,28,19767.56614910911,19765.83832489504,34959,50587.917220404415,cuda/persistent/tree/bt:256/transposed:0/bitmask:1/cached:0/mapped:0/devreduce:0/crossreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,tree,,256,1,1,0,0,0,0,28,16804.807098460667,16803.978920863312,41700,59506.78244272145,cuda/persistent/tree/bt:256/transposed:1/bitmask:1/cached:0/mapped:0/devreduce:0/crossreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,tree,,256,0,0,0,1,0,0,28,7638.986192964463,7638.344490455805,90316,130907.42341189252,cuda/persistent/tree/bt:256/transposed:0/bitmask:0/cached:0/mapped:1/devreduce:0/crossreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,tree,,256,1,0,0,1,0,0,28,7436.82435407814,7436.395930009689,93956,134465.99682721143,cuda/persistent/tree/bt:256/transposed:1/bitmask:0/cached:0/mapped:1/devreduce:0/crossreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,tree,,256,0,1,0,1,0,0,28,11607.470206742046,11606.37456309041,59795,86151.41647481147,cuda/persistent/tree/bt:256/transposed:0/bitmask:1/cached:0/mapped:1/devreduce:0/crossreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,tree,,256,1,1,0,1,0,0,28,9846.317120357542,9845.225948385309,70910,101560.81586408296,cuda/persistent/tree/bt:256/transposed:1/bitmask:1/cached:0/mapped:1/devreduce:0/crossreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,tree,,256,0,0,0,0,1,0,28,13356.193105842873,13354.522390852871,53437,74871.63386118869,cuda/persistent/tree/bt:256/transposed:0/bitmask:0/cached:0/mapped:0/devreduce:1/crossreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,tree,,256,1,0,0,0,1,0,28,13237.565156477709,13236.666212482512,52842,75542.59323215924,cuda/persistent/tree/bt:256/transposed:1/bitmask:0/cached:0/mapped:0/devreduce:1/crossreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,tree,,256,0,1,0,0,1,0,28,19431.937221978395,19430.47503512073,34168,51461.67304765451,cuda/persistent/tree/bt:256/transposed:0/bitmask:1/cached:0/mapped:0/devreduce:1/crossreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,tree,,256,1,1,0,0,1,0,28,16377.442924729841,16375.700189845737,41086,61059.593038789106,cuda/persistent/tree/bt:256/transposed:1/bitmask:1/cached:0/mapped:0/devreduce:1/crossreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,tree,,256,0,0,0,1,1,0,28,7611.38180284021,7611.049601718017,91267,131382.18866209642,cuda/persistent/tree/bt:256/transposed:0/bitmask:0/cached:0/mapped:1/devreduce:1/crossreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,tree,,256,1,0,0,1,1,0,28,7450.019466151597,7449.001340640768,93239,134227.83719470774,cuda/persistent/tree/bt:256/transposed:1/bitmask:0/cached:0/mapped:1/devreduce:1/crossreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,tree,,256,0,1,0,1,1,0,28,11617.327705409789,11616.601495246103,60057,86078.31554362837,cuda/persistent/tree/bt:256/transposed:0/bitmask:1/cached:0/mapped:1/devreduce:1/crossreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,tree,,256,1,1,0,1,1,0,28,9805.481791044893,9804.75931412279,71558,101983.77002885015,cuda/persistent/tree/bt:256/transposed:1/bitmask:1/cached:0/mapped:1/devreduce:1/crossreduce:0/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,tree,,256,0,0,0,0,0,1,28,16071.87448633521,16069.987177965022,42115,62220.49586376686,cuda/persistent/tree/bt:256/transposed:0/bitmask:0/cached:0/mapped:0/devreduce:0/crossreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,tree,,256,1,0,0,0,0,1,28,16391.676999323143,16390.006231890762,43486,61006.570593191456,cuda/persistent/tree/bt:256/transposed:1/bitmask:0/cached:0/mapped:0/devreduce:0/crossreduce:1/features:28/real_time
higgs_d6_n500,500,cuda,persistent,cuda,tree,,256,0,1,0,0,0,1,28,23524.50681497532,23522.492870408092,31769,42508.861412704144,cuda/persistent/tree/bt:256/transposed:0/bitmask:1/cached:0/mapped:0/devreduce:0/crossreduce:1/features:28/real_time
